Date,Ticker,Close_normalized,Volume_normalized,daily_return_normalized,rolling_avg_50d_normalized,volatility_garch_normalized,GDP_Growth_Rate_YoY_normalized,Interest_Rate_Federal_Funds_normalized,Inflation_Rate_CPI_YoY_normalized,GDP_Real_normalized,CPI_All_Items_normalized
2010-03-16,^GSPC,0.24156083896653535,0.41155096955021797,0.8100929227488805,0.23330413871577932,0.006135132687470422,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-16,^GSPC,0.24156083896653535,0.41155096955021797,0.8100929227488805,0.23330413871577932,0.13411759971798695,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-17,^GSPC,0.2429684065889593,0.46744102597428283,0.8085189327442422,0.23344346907562347,0.007870627506479693,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-17,^GSPC,0.2429684065889593,0.46744102597428283,0.8085189327442422,0.23344346907562347,0.1341175997228062,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-18,^GSPC,0.2428891647268245,0.3988119960707528,0.8035756724371852,0.23356640006913076,0.007863086802012514,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-18,^GSPC,0.2428891647268245,0.3988119960707528,0.8035756724371852,0.23356640006913076,0.1341175997258519,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-19,^GSPC,0.24165260475933842,0.4909119677221574,0.7997476442087438,0.23366185952570404,0.006447960785804757,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-19,^GSPC,0.24165260475933842,0.4909119677221574,0.7997476442087438,0.23366185952570404,0.13411759972777676,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-22,^GSPC,0.24288501553841205,0.4013709041695039,0.8079348464096312,0.23376302351038214,0.007308324084212572,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-22,^GSPC,0.24288501553841205,0.4013709041695039,0.8079348464096312,0.23376302351038214,0.13411759972899326,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-23,^GSPC,0.24462831105023394,0.4154943439372149,0.8096039060624651,0.233885451735392,0.007015444913298925,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-23,^GSPC,0.24462831105023394,0.4154943439372149,0.8096039060624651,0.233885451735392,0.1341175997297621,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-24,^GSPC,0.24328328671572044,0.44319402965394933,0.799420487370747,0.2339724388772033,0.008072908785424542,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-24,^GSPC,0.24328328671572044,0.44319402965394933,0.799420487370747,0.2339724388772033,0.13411759973024795,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-25,^GSPC,0.2428683169641877,0.5339048259481004,0.8024673557505329,0.23409620901283626,0.00885225773670189,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-25,^GSPC,0.2428683169641877,0.5339048259481004,0.8024673557505329,0.23409620901283626,0.13411759973055504,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-26,^GSPC,0.2430476484510941,0.44344549393895727,0.8044308945448206,0.23418390883667245,0.007580297447278925,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-26,^GSPC,0.2430476484510941,0.44344549393895727,0.8044308945448206,0.23418390883667245,0.1341175997307491,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-29,^GSPC,0.24443019366732513,0.41209816336890565,0.8084076116094752,0.2342877566425968,0.006129822353208827,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-29,^GSPC,0.24443019366732513,0.41209816336890565,0.8084076116094752,0.2342877566425968,0.13411759973087176,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-30,^GSPC,0.24444063027621535,0.3847309379241105,0.8038719899074708,0.2344439476665539,0.006396496804697598,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-30,^GSPC,0.24444063027621535,0.3847309379241105,0.8038719899074708,0.2344439476665539,0.13411759973094928,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-31,^GSPC,0.24363988782289886,0.4223413302743221,0.8012059484244393,0.23452447612751418,0.005167772036150944,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-03-31,^GSPC,0.24363988782289886,0.4223413302743221,0.8012059484244393,0.23452447612751418,0.13411759973099827,0.5318944245791032,0.020833333333333336,0.272623247812313,0.0,0.0016823981821358913
2010-04-01,^GSPC,0.24544781394440923,0.37737254669277376,0.8097991705759426,0.2346924944987832,0.005191679368115914,0.5853420210805996,0.02840909090909091,0.26402007134285266,0.02515753642662366,0.0022286313581538764
2010-04-01,^GSPC,0.24544781394440923,0.37737254669277376,0.8097991705759426,0.2346924944987832,0.13411759973102924,0.5853420210805996,0.02840909090909091,0.26402007134285266,0.02515753642662366,0.0022286313581538764
2010-04-05,^GSPC,0.24739546334933044,0.36557632882863794,0.8102126336892835,0.23499011296992228,0.006874303818949587,0.5853420210805996,0.02840909090909091,0.26402007134285266,0.02515753642662366,0.0022286313581538764
2010-04-05,^GSPC,0.24739546334933044,0.36557632882863794,0.8102126336892835,0.23499011296992228,0.13411759973104884,0.5853420210805996,0.02840909090909091,0.26402007134285266,0.02515753642662366,0.0022286313581538764
2010-04-06,^GSPC,0.24781252042264124,0.3848420719526908,0.8051920398349971,0.2353997996655147,0.00854384239993363,0.5853420210805996,0.02840909090909091,0.26402007134285266,0.02515753642662366,0.0022286313581538764
2010-04-06,^GSPC,0.24781252042264124,0.3848420719526908,0.8051920398349971,0.2353997996655147,0.1341175997310612,0.5853420210805996,0.02840909090909091,0.26402007134285266,0.02515753642662366,0.0022286313581538764
2010-04-07,^GSPC,0.2463549079878315,0.48045971815280175,0.7991121906764743,0.2357591142822955,0.006992027647648995,0.5853420210805996,0.02840909090909091,0.26402007134285266,0.02515753642662366,0.0022286313581538764
2010-04-07,^GSPC,0.2463549079878315,0.48045971815280175,0.7991121906764743,0.2357591142822955,0.134117599731069,0.5853420210805996,0.02840909090909091,0.26402007134285266,0.02515753642662366,0.0022286313581538764
2010-04-08,^GSPC,0.24718693481267504,0.44519255854079137,0.8065510163005811,0.23615449869888885,0.008300269612059274,0.5853420210805996,0.02840909090909091,0.26402007134285266,0.02515753642662366,0.0022286313581538764
2010-04-08,^GSPC,0.24718693481267504,0.44519255854079137,0.8065510163005811,0.23615449869888885,0.13411759973107396,0.5853420210805996,0.02840909090909091,0.26402007134285266,0.02515753642662366,0.0022286313581538764
2010-04-09,^GSPC,0.24884057730861553,0.42490588925588235,0.8092122578278662,0.23656078837922587,0.007131764481690662,0.5853420210805996,0.02840909090909091,0.26402007134285266,0.02515753642662366,0.0022286313581538764
2010-04-09,^GSPC,0.24884057730861553,0.42490588925588235,0.8092122578278662,0.23656078837922587,0.13411759973107706,0.5853420210805996,0.02840909090909091,0.26402007134285266,0.02515753642662366,0.0022286313581538764
2010-04-12,^GSPC,0.2492805694663412,0.433902094688076,0.8052582288427654,0.23703032602935525,0.007820711179230319,0.5853420210805996,0.02840909090909091,0.26402007134285266,0.02515753642662366,0.0022286313581538764
