Date,Ticker,Close_normalized,Volume_normalized,daily_return_normalized,rolling_avg_50d_normalized,volatility_garch_normalized,GDP_Growth_Rate_YoY_normalized,Interest_Rate_Federal_Funds_normalized,Inflation_Rate_CPI_YoY_normalized,GDP_Real_normalized,CPI_All_Items_normalized,close_lag_1,close_lag_3,close_lag_5,close_lag_10,price_change_1d,price_change_5d,return_volatility_10d
2010-03-23,^GSPC,0.2446283110502339,0.4154943439372149,0.8096039060624651,0.233885451735392,0.0070154449132989,0.5318944245791032,0.0208333333333333,0.272623247812313,0.0,0.0016823981821358,0.242885015538412,0.2416526047593384,0.2428891647268245,0.2415608389665353,0.0017432955118218962,0.0017391463234093796,0.003941234976152175
2010-03-23,^GSPC,0.2446283110502339,0.4154943439372149,0.8096039060624651,0.233885451735392,0.1341175997297621,0.5318944245791032,0.0208333333333333,0.272623247812313,0.0,0.0016823981821358,0.2446283110502339,0.242885015538412,0.2416526047593384,0.2415608389665353,0.0,0.0029757062908954968,0.0038864287245440787
2010-03-24,^GSPC,0.2432832867157204,0.4431940296539493,0.799420487370747,0.2339724388772033,0.0080729087854245,0.5318944245791032,0.0208333333333333,0.272623247812313,0.0,0.0016823981821358,0.2446283110502339,0.242885015538412,0.2416526047593384,0.2429684065889593,-0.0013450243345135005,0.0016306819563819963,0.0042472602833238905
2010-03-24,^GSPC,0.2432832867157204,0.4431940296539493,0.799420487370747,0.2339724388772033,0.1341175997302479,0.5318944245791032,0.0208333333333333,0.272623247812313,0.0,0.0016823981821358,0.2432832867157204,0.2446283110502339,0.242885015538412,0.2429684065889593,0.0,0.0003982711773083958,0.004374302010808407
2010-03-25,^GSPC,0.2428683169641877,0.5339048259481004,0.8024673557505329,0.2340962090128362,0.0088522577367018,0.5318944245791032,0.0208333333333333,0.272623247812313,0.0,0.0016823981821358,0.2432832867157204,0.2446283110502339,0.242885015538412,0.2428891647268245,-0.00041496975153268445,-1.6698574224288665e-05,0.0044017930120892855
2010-03-25,^GSPC,0.2428683169641877,0.5339048259481004,0.8024673557505329,0.2340962090128362,0.134117599730555,0.5318944245791032,0.0208333333333333,0.272623247812313,0.0,0.0016823981821358,0.2428683169641877,0.2432832867157204,0.2446283110502339,0.2428891647268245,0.0,-0.001759994086046185,0.004426030765966779
2010-03-26,^GSPC,0.2430476484510941,0.4434454939389572,0.8044308945448206,0.2341839088366724,0.0075802974472789,0.5318944245791032,0.0208333333333333,0.272623247812313,0.0,0.0016823981821358,0.2428683169641877,0.2432832867157204,0.2446283110502339,0.2416526047593384,0.00017933148690640888,-0.001580662599139776,0.004186811153604822
2010-03-26,^GSPC,0.2430476484510941,0.4434454939389572,0.8044308945448206,0.2341839088366724,0.1341175997307491,0.5318944245791032,0.0208333333333333,0.272623247812313,0.0,0.0016823981821358,0.2430476484510941,0.2428683169641877,0.2432832867157204,0.2416526047593384,0.0,-0.00023563826462627557,0.0038706111437265597
2010-03-29,^GSPC,0.2444301936673251,0.4120981633689056,0.8084076116094752,0.2342877566425968,0.0061298223532088,0.5318944245791032,0.0208333333333333,0.272623247812313,0.0,0.0016823981821358,0.2430476484510941,0.2428683169641877,0.2432832867157204,0.242885015538412,0.0013825452162309904,0.0011469069516047148,0.003916161299796359
2010-03-29,^GSPC,0.2444301936673251,0.4120981633689056,0.8084076116094752,0.2342877566425968,0.1341175997308717,0.5318944245791032,0.0208333333333333,0.272623247812313,0.0,0.0016823981821358,0.2444301936673251,0.2430476484510941,0.2428683169641877,0.242885015538412,0.0,0.0015618767031373992,0.0039605607185530635
2010-03-30,^GSPC,0.2444406302762153,0.3847309379241105,0.8038719899074708,0.2344439476665539,0.0063964968046975,0.5318944245791032,0.0208333333333333,0.272623247812313,0.0,0.0016823981821358,0.2444301936673251,0.2430476484510941,0.2428683169641877,0.2446283110502339,1.0436608890190824e-05,0.00157231331202759,0.00359675428075432
2010-03-30,^GSPC,0.2444406302762153,0.3847309379241105,0.8038719899074708,0.2344439476665539,0.1341175997309492,0.5318944245791032,0.0208333333333333,0.272623247812313,0.0,0.0016823981821358,0.2444406302762153,0.2444301936673251,0.2430476484510941,0.2446283110502339,0.0,0.0013929818251211812,0.003075245265748074
2010-03-31,^GSPC,0.2436398878228988,0.4223413302743221,0.8012059484244393,0.2345244761275141,0.0051677720361509,0.5318944245791032,0.0208333333333333,0.272623247812313,0.0,0.0016823981821358,0.2444406302762153,0.2444301936673251,0.2430476484510941,0.2432832867157204,-0.0008007424533164886,0.0005922393718046925,0.002840798919087497
2010-03-31,^GSPC,0.2436398878228988,0.4223413302743221,0.8012059484244393,0.2345244761275141,0.1341175997309982,0.5318944245791032,0.0208333333333333,0.272623247812313,0.0,0.0016823981821358,0.2436398878228988,0.2444406302762153,0.2444301936673251,0.2432832867157204,0.0,-0.0007903058444262978,0.002571439668983399
2010-04-01,^GSPC,0.2454478139444092,0.3773725466927737,0.8097991705759426,0.2346924944987832,0.0051916793681159,0.5853420210805996,0.0284090909090909,0.2640200713428526,0.0251575364266236,0.0022286313581538,0.2436398878228988,0.2444406302762153,0.2444301936673251,0.2428683169641877,0.0018079261215104003,0.0010176202770841025,0.00306033707193536
2010-04-01,^GSPC,0.2454478139444092,0.3773725466927737,0.8097991705759426,0.2346924944987832,0.1341175997310292,0.5853420210805996,0.0284090909090909,0.2640200713428526,0.0251575364266236,0.0022286313581538,0.2454478139444092,0.2436398878228988,0.2444406302762153,0.2428683169641877,0.0,0.0010071836681939117,0.003305216658249027
2010-04-05,^GSPC,0.2473954633493304,0.3655763288286379,0.8102126336892835,0.2349901129699222,0.0068743038189495,0.5853420210805996,0.0284090909090909,0.2640200713428526,0.0251575364266236,0.0022286313581538,0.2454478139444092,0.2436398878228988,0.2444406302762153,0.2430476484510941,0.0019476494049212034,0.002954833073115115,0.003583054895621543
2010-04-05,^GSPC,0.2473954633493304,0.3655763288286379,0.8102126336892835,0.2349901129699222,0.1341175997310488,0.5853420210805996,0.0284090909090909,0.2640200713428526,0.0251575364266236,0.0022286313581538,0.2473954633493304,0.2454478139444092,0.2436398878228988,0.2430476484510941,0.0,0.0037555755264316038,0.0037428935182712278
2010-04-06,^GSPC,0.2478125204226412,0.3848420719526908,0.8051920398349971,0.2353997996655147,0.0085438423999336,0.5853420210805996,0.0284090909090909,0.2640200713428526,0.0251575364266236,0.0022286313581538,0.2473954633493304,0.2454478139444092,0.2436398878228988,0.2444301936673251,0.00041705707331080033,0.004172632599742404,0.0037178829127067292
2010-04-06,^GSPC,0.2478125204226412,0.3848420719526908,0.8051920398349971,0.2353997996655147,0.1341175997310612,0.5853420210805996,0.0284090909090909,0.2640200713428526,0.0251575364266236,0.0022286313581538,0.2478125204226412,0.2473954633493304,0.2454478139444092,0.2444301936673251,0.0,0.0023647064782320038,0.0036614586191438515
2010-04-07,^GSPC,0.2463549079878315,0.4804597181528017,0.7991121906764743,0.2357591142822955,0.0069920276476489,0.5853420210805996,0.0284090909090909,0.2640200713428526,0.0251575364266236,0.0022286313581538,0.2478125204226412,0.2473954633493304,0.2454478139444092,0.2444406302762153,-0.001457612434809713,0.0009070940434222907,0.0042405571639982575
2010-04-07,^GSPC,0.2463549079878315,0.4804597181528017,0.7991121906764743,0.2357591142822955,0.134117599731069,0.5853420210805996,0.0284090909090909,0.2640200713428526,0.0251575364266236,0.0022286313581538,0.2463549079878315,0.2478125204226412,0.2473954633493304,0.2444406302762153,0.0,-0.0010405553614989127,0.00469626566042118
2010-04-08,^GSPC,0.247186934812675,0.4451925585407913,0.8065510163005811,0.2361544986988888,0.0083002696120592,0.5853420210805996,0.0284090909090909,0.2640200713428526,0.0251575364266236,0.0022286313581538,0.2463549079878315,0.2478125204226412,0.2473954633493304,0.2436398878228988,0.0008320268248435125,-0.00020852853665540017,0.004503480570868996
2010-04-08,^GSPC,0.247186934812675,0.4451925585407913,0.8065510163005811,0.2361544986988888,0.1341175997310739,0.5853420210805996,0.0284090909090909,0.2640200713428526,0.0251575364266236,0.0022286313581538,0.247186934812675,0.2463549079878315,0.2478125204226412,0.2436398878228988,0.0,-0.0006255856099662005,0.004227632907959102
