# Description: Detailed error analysis for the Hybrid (ARIMA-LSTM) model on the test set.
# Includes raw error, percentage error, and directional accuracy.
Date,Actual,Predicted,Raw_Error,Percentage_Error,Actual_Direction,Predicted_Direction,Directional_Accuracy
2021-03-29,0.0422708203196925,0.0422729472297567,2.1269100641957417e-06,0.005031627132168259,Down,Up,0
2021-03-29,0.0422708203196925,0.042273438851327234,2.6185316347321352e-06,0.006194655355463382,Up,Up,1
2021-03-30,0.0439619868792435,0.042273745204222384,-0.0016882416750211154,-3.8402306057240847,Down,Up,0
2021-03-30,0.0439619868792435,0.04227396010628095,-0.0016880267729625503,-3.839741769632224,Up,Up,1
2021-03-31,0.0462078369280592,0.04227409392808382,-0.003933742999975384,-8.513151148147907,Down,Up,0
2021-03-31,0.0462078369280592,0.04227417349795633,-0.003933663430102874,-8.51297894819699,Down,Up,0
2021-04-01,0.045778268651652,0.04227421808460321,-0.0035040505670487915,-7.654397316143019,Down,Up,0
2021-04-01,0.045778268651652,0.04227424113483691,-0.0035040275168150906,-7.6543469642306805,Up,Up,1
2021-04-05,0.0478148996930412,0.04227425155400827,-0.005540648139032933,-11.587702106670523,Down,Up,0
2021-04-05,0.0478148996930412,0.0422742549300526,-0.0055406447629886,-11.58769504601714,Up,Down,0
2021-04-06,0.0478545174422157,0.04227425475542961,-0.005580262686786089,-11.66089009992474,Down,Down,1
2021-04-06,0.0478545174422157,0.042274253009199785,-0.005580264433015916,-11.660893748963371,Down,Down,1
2021-04-07,0.0464191464391567,0.04227425085551633,-0.004144895583640368,-8.92928005273263,Down,Down,1
2021-04-07,0.0464191464391567,0.0422742488182482,-0.0041448976209085,-8.929284441585695,Up,Down,0
2021-04-08,0.0473109546688263,0.04227424718843369,-0.005036707480392609,-10.645964588221151,Down,Down,1
2021-04-08,0.0473109546688263,0.04227424584965749,-0.00503670881916881,-10.645967417959442,Down,Down,1
2021-04-09,0.0468396813214666,0.04227424486012726,-0.004565436461339341,-9.746941765052112,Down,Down,1
