Date,Interest_Rate_Federal_Funds,GDP_Real,CPI_All_Items,GDP_Growth_Rate_YoY,Inflation_Rate_CPI_YoY
1947-01-01,,2182.681,21.48,,
1947-02-01,,,21.62,,
1947-03-01,,,22.0,,
1947-04-01,,2176.892,22.0,,
1947-05-01,,,21.95,-0.2652242815143535,
1947-06-01,,,22.08,-0.2652242815143535,
1947-07-01,,2172.432,22.23,-0.46956014186224637,
1947-08-01,,,22.4,-0.20487924986632988,
1947-09-01,,,22.84,-0.20487924986632988,
1947-10-01,,2206.452,22.91,1.3578992435086645,
1947-11-01,,,23.06,1.5659868755385942,
1947-12-01,,,23.41,1.5659868755385942,
1948-01-01,,2239.682,23.68,3.095608976483488,10.242085661080068
1948-02-01,,,23.67,1.5060377474787279,9.481961147086038
1948-03-01,,,23.5,1.5060377474787279,6.818181818181812
1948-04-01,,2276.69,23.82,3.183300611116846,8.272727272727277
1948-05-01,,,24.01,1.6523774357252607,9.384965831435089
1948-06-01,,,24.15,1.6523774357252607,9.375
1948-07-01,,2289.77,24.4,2.236388915926457,9.761583445793963
1948-08-01,,,24.43,0.5745182699445239,9.062499999999996
1948-09-01,,,24.36,0.5745182699445239,6.654991243432562
1948-10-01,,2292.364,24.31,0.6884556088004867,6.110868616324749
1948-11-01,,,24.16,0.1132864872891215,4.770164787510844
1948-12-01,,,24.05,0.1132864872891215,2.733874412644166
1949-01-01,,2260.807,24.01,-1.2648868663664992,1.3935810810810967
1949-02-01,,,23.91,-1.3766138361970492,1.0139416983523386
1949-03-01,,,23.91,-1.3766138361970492,1.744680851063829
1949-04-01,,2253.128,23.92,-1.7115955406732941,0.4198152812762368
1949-05-01,,,23.91,-0.33965747629053356,-0.4164931278633932
1949-06-01,,,23.92,-0.33965747629053356,-0.9523809523809379
1949-07-01,,2276.424,23.7,0.6907710388370347,-2.868852459016391
1949-08-01,,,23.7,1.0339403708977013,-2.988129349160873
1949-09-01,,,23.75,1.0339403708977013,-2.504105090311981
1949-10-01,,2257.352,23.67,0.18747270461330068,-2.6326614561908546
1949-11-01,,,23.7,-0.8378052594771535,-1.9039735099337762
1949-12-01,,,23.61,-0.8378052594771535,-1.8295218295218296
1950-01-01,,2346.104,23.51,3.060941195489053,-2.082465639316955
1950-02-01,,,23.61,3.9316863298236138,-1.2547051442910906
1950-03-01,,,23.64,3.9316863298236138,-1.129234629861986
1950-04-01,,2417.682,23.65,7.102569736576303,-1.1287625418060276
1950-05-01,,,23.77,3.050930393537543,-0.5855290673358438
1950-06-01,,,23.88,3.050930393537543,-0.16722408026756952
1950-07-01,,2511.127,24.07,7.033916655016159,1.561181434599157
1950-08-01,,,24.2,3.865065794426248,2.1097046413502074
1950-09-01,,,24.34,3.865065794426248,2.4842105263158
1950-10-01,,2559.214,24.5,5.854037048710303,3.50654837346851
1950-11-01,,,24.6,1.9149569097859143,3.797468354430378
1950-12-01,,,24.98,1.9149569097859143,5.80262600592969
1951-01-01,,2593.967,25.38,3.2989171794178596,7.9540621012335055
1951-02-01,,,25.83,1.3579559974273403,9.402795425667087
1951-03-01,,,25.88,1.3579559974273403,9.475465313028764
1951-04-01,,2638.898,25.92,3.113612226253859,9.598308668076116
1951-05-01,,,25.99,1.7321346031001994,9.339503575936048
1951-06-01,,,25.93,1.7321346031001994,8.584589614740379
1951-07-01,,2693.259,25.91,3.8278050568877564,7.644370585791438
1951-08-01,,,25.86,2.0599886770917175,6.859504132231398
1951-09-01,,,26.03,2.0599886770917175,6.943303204601481
1951-10-01,,2699.156,26.16,2.28345316870906,6.775510204081625
1951-11-01,,,26.32,0.21895406271732476,6.991869918699178
1951-12-01,,,26.47,0.21895406271732476,5.964771817453962
1952-01-01,,2727.954,26.45,1.288216246562257,4.215918045705291
1952-02-01,,,26.41,1.0669261057901114,2.245451025938827
1952-03-01,,,26.39,1.0669261057901114,1.9706336939721902
1952-04-01,,2733.8,26.46,1.2835123275572125,2.083333333333326
1952-05-01,,,26.47,0.21429980124298975,1.8468641785302164
1952-06-01,,,26.53,0.21429980124298975,2.313922097956045
1952-07-01,,2753.517,26.68,0.9370759184355704,2.9718255499807
1952-08-01,,,26.69,0.7212305216182546,3.209590100541382
1952-09-01,,,26.63,0.7212305216182546,2.3050326546292688
1952-10-01,,2843.941,26.69,4.028860926183331,2.0259938837920544
1952-11-01,,,26.69,3.283945586680592,1.4057750759878473
1952-12-01,,,26.71,3.283945586680592,0.9066868152625585
1953-01-01,,2896.811,26.64,5.204035420881747,0.7183364839319584
1953-02-01,,,26.59,1.8590399730515017,0.6815600151457879
1953-03-01,,,26.63,1.8590399730515017,0.9094353921940135
1953-04-01,,2919.206,26.69,2.646503566705505,0.8692365835222926
1953-05-01,,,26.7,0.7730915133917993,0.86890819795995
1953-06-01,,,26.77,0.7730915133917993,0.9046362608367886
1953-07-01,,2902.785,26.79,0.2062267783434768,0.41229385307346433
1953-08-01,,,26.85,-0.5625159718087858,0.5994754589734086
1953-09-01,,,26.89,-0.5625159718087858,0.9763424708974844
